Nome do Produto;Descricao do Produto;Fabricante;Nome da Marca;Tipo;Custo Unitario;Preco Unitario;ID Produto;ID Subcategoria
Contoso Wireless Laser Mouse E50 Grey;Advanced 2.4 GHz cordless technology makes freedom, hyper-fast scrolling, laser, and cursor control on virtually any surface;Contoso, Ltd;Contoso;Econômico;10,69;25.3;873;22
Contoso Optical Wheel OEM PS/2 Mouse E60 Grey;PS/2 mouse, 6 feet mouse cable;Contoso, Ltd;Contoso;Econômico;6,63;14.3;879;22
Contoso Optical Wheel OEM PS/2 Mouse E60 Black;PS/2 mouse, 6 feet mouse cable;Contoso, Ltd;Contoso;Econômico;6,63;14.3;880;22
Contoso Optical Wheel OEM PS/2 Mouse E60 White;PS/2 mouse, 6 feet mouse cable;Contoso, Ltd;Contoso;Econômico;6,63;55.00000000000001;881;22
Contoso Optical Wheel OEM PS/2 Mouse E60 Silver;PS/2 mouse, 6 feet mouse cable;Contoso, Ltd;Contoso;Econômico;6,63;49.50000000000001;882;22
Contoso Bluetooth Notebook Mouse E70 Black;Transceiver-free wireless connection to your PC with Bluetooth Technology;Contoso, Ltd;Contoso;Econômico;25,49;55.00000000000001;887;22
Contoso Bluetooth Notebook Mouse E70 White;Transceiver-free wireless connection to your PC with Bluetooth Technology;Contoso, Ltd;Contoso;Econômico;25,49;55.00000000000001;888;22
Contoso Bluetooth Notebook Mouse E70 Silver;Transceiver-free wireless connection to your PC with Bluetooth Technology;Contoso, Ltd;Contoso;Econômico;25,49;55.00000000000001;889;22
Contoso Bluetooth Notebook Mouse E70 Grey;Transceiver-free wireless connection to your PC with Bluetooth Technology;Contoso, Ltd;Contoso;Econômico;25,49;55.00000000000001;890;22
Contoso ADSL Modem Splitter/Filter X 1 E100 Grey;ADSL modem splitter/filter X 1;Contoso, Ltd;Contoso;Econômico;9,13;0.0;833;22
Contoso ADSL Modem Splitter/Filter X 2 E200 Grey;ADSL modem splitter/filter X 2;Contoso, Ltd;Contoso;Econômico;11,68;0.0;834;22
Contoso ADSL Modem Splitter/Filter X 3 E300 Grey;ADSL modem splitter/filter X 3;Contoso, Ltd;Contoso;Econômico;26,97;0.0;835;22
Contoso USB Wave Multi-Media Keyboard E280 Grey;USB wave multimedia keyboard;Contoso, Ltd;Contoso;Econômico;8,11;0.0;836;22
Contoso Cables To Go USB 2.0 Hard Drive Enclosure E920 Grey;Cables to go USB 2.0 hard drive enclosure;Contoso, Ltd;Contoso;Econômico;6,07;0.0;837;22
Contoso USB Optical Mouse E200 Gold;USB optical mouse;Contoso, Ltd;Contoso;Econômico;7,9;0.0;838;22
Contoso Reserve Pen - Tablet Pen E200 Gold;Reserve Pen - Tablet Pen;Contoso, Ltd;Contoso;Econômico;7,09;0.0;841;22
Contoso Bright Light battery E20 Black;Illuminate wireless reading device, two super LED lights;Contoso, Ltd;Contoso;Econômico;13,71;0.0;842;22
Contoso Bright Light battery E20 blue;Illuminate wireless reading device, two super LED lights;Contoso, Ltd;Contoso;Econômico;13,71;0.0;843;22
Contoso Bright Light battery E20 Pink;Illuminate wireless reading device, two super LED lights;Contoso, Ltd;Contoso;Econômico;13,71;0.0;844;22
Contoso Lens cap E80 White;Lens cap black;Contoso, Ltd;Contoso;Econômico;15,27;0.0;800;22
Contoso Battery charger - bike E200 White;Primary extended capacity battery pack;Contoso, Ltd;Contoso;Econômico;10,15;0.0;801;22
Contoso USB Optical Mouse E200 White;USB optical mouse;Contoso, Ltd;Contoso;Econômico;7,9;0.0;802;22
Contoso ADSL Modem Splitter/Filter X 1 E100 White;ADSL modem splitter/filter X 1;Contoso, Ltd;Contoso;Econômico;9,13;0.0;803;22
Contoso ADSL Modem Splitter/Filter X 2 E200 White;ADSL modem splitter/filter X 2;Contoso, Ltd;Contoso;Econômico;11,68;0.0;804;22
Contoso ADSL Modem Splitter/Filter X 3 E300 White;ADSL modem splitter/filter X 3;Contoso, Ltd;Contoso;Econômico;26,97;0.0;805;22
Contoso USB Wave Multi-media Keyboard E280 White;USB wave multimedia keyboard;Contoso, Ltd;Contoso;Econômico;8,11;0.0;806;22
Contoso Cables To Go USB 2.0 Hard Drive Enclosure E920 White;Cables to go USB 2.0 hard drive enclosure;Contoso, Ltd;Contoso;Econômico;6,07;0.0;807;22
Contoso Rechargeable Battery E100 Grey;Rechargeable Battery;Contoso, Ltd;Contoso;Econômico;6,6;0.0;808;22
Contoso Dual USB Power Adapter - power adapter E300 Grey;Dual USB power adapter - power adapter;Contoso, Ltd;Contoso;Econômico;20,34;0.0;809;22
Contoso USB Optical Mouse E200 Black;USB optical mouse;Contoso, Ltd;Contoso;Econômico;7,9;0.0;767;22
Contoso ADSL Modem Splitter/Filter X 1 E100 Black;ADSL modem splitter/filter X 1;Contoso, Ltd;Contoso;Econômico;9,13;0.0;768;22
Contoso ADSL Modem Splitter/Filter X 2 E200 Black;ADSL modem splitter/filter X 2;Contoso, Ltd;Contoso;Econômico;11,68;0.0;769;22
Contoso ADSL Modem Splitter/Filter X 3 E300 Black;ADSL modem splitter/filter X 3;Contoso, Ltd;Contoso;Econômico;26,97;0.0;770;22
Contoso USB Wave Multi-media Keyboard E280 Black;USB wave multimedia keyboard;Contoso, Ltd;Contoso;Econômico;8,11;0.0;771;22
Contoso Cables To Go USB 2.0 Hard Drive Enclosure E920 Black;Cables to go USB 2.0 hard drive enclosure;Contoso, Ltd;Contoso;Econômico;6,07;0.0;772;22
Contoso USB Wave Multi-media Keyboard E280 Blue;USB wave multimedia keyboard;Contoso, Ltd;Contoso;Econômico;8,11;0.0;773;22
Contoso USB Optical Mouse E200 Blue;USB mouse;Contoso, Ltd;Contoso;Econômico;7,9;0.0;774;22
Contoso Reserve Pen -Tablet Pen E200 Blue;Reserve Pen - Tablet Pen;Contoso, Ltd;Contoso;Econômico;7,09;0.0;777;22
Contoso Rechargeable Battery E100 White;Rechargeable Battery;Contoso, Ltd;Contoso;Econômico;6,6;0.0;778;22
Contoso Dual USB Power Adapter - power adapter E300 White;Dual USB power adapter - power adapter;Contoso, Ltd;Contoso;Econômico;20,34;0.0;779;22
Contoso Mouse Lock Bundle E200 White;Nearly 1,000 notebook computers are stolen everyday - protect your notebook computer and its valuable data with this affordable security product;Contoso, Ltd;Contoso;Econômico;6,6;0.0;782;22
Contoso Education Supplies Bundle E200 White;Goal is to enhance your lifestyle by offering innovative and quality products, as well as continuing to listen and respond to its customers;Contoso, Ltd;Contoso;Econômico;6,88;0.0;783;22
Contoso Desktop Alternative Bundle E200 White;Desktop alternative bundle;Contoso, Ltd;Contoso;Econômico;5,86;0.0;786;22
Contoso Power Inverter - DC to AC power inverter E900 White;Notebook essentials bundle - notebook accessories bundle;Contoso, Ltd;Contoso;Econômico;4,84;0.0;787;22
Contoso Mouse Lock Bundle E200 Grey;Nearly 1,000 notebook computers are stolen everyday - protect your notebook computer and its valuable data with this affordable security product;Contoso, Ltd;Contoso;Econômico;6,6;0.0;812;22
Contoso Education Supplies Bundle E200 Grey;Goal is to enhance your lifestyle by offering innovative and quality products, as well as continuing to listen and respond to its customers;Contoso, Ltd;Contoso;Econômico;6,88;0.0;813;22
Contoso Desktop Alternative Bundle E200 Grey;Desktop alternative bundle;Contoso, Ltd;Contoso;Econômico;5,86;0.0;816;22
Contoso Power Inverter - DC to AC power inverter E900 Grey;Notebook essentials bundle - notebook accessories bundle;Contoso, Ltd;Contoso;Econômico;4,84;0.0;817;22
Contoso Laptop Cooling Hub notebook fan with 4 ports USB hub E80 Grey;Laptop cooling hub notebook fan with 4 ports USB hub;Contoso, Ltd;Contoso;Econômico;15,24;0.0;819;22
Contoso Home/Office Laptop Power Adapter E300 Grey;Home/office laptop power adapter;Contoso, Ltd;Contoso;Econômico;13;0.0;820;22
Contoso Rechargeable Battery E100 Black;Rechargeable Battery;Contoso, Ltd;Contoso;Econômico;6,6;0.0;743;22
Contoso Dual USB Power Adapter - power adapter E300 Black;Dual USB power adapter - power adapter;Contoso, Ltd;Contoso;Econômico;20,34;0.0;744;22
Contoso Mouse Lock Bundle E200 Black;Nearly 1,000 notebook computers are stolen everyday - protect your notebook computer and its valuable data with this affordable security product;Contoso, Ltd;Contoso;Econômico;6,6;0.0;747;22
Contoso Education Supplies Bundle E200 Black;Goal is to enhance your lifestyle by offering innovative and quality products, as well as continuing to listen and respond to its customers;Contoso, Ltd;Contoso;Econômico;6,88;0.0;748;22
Contoso Desktop Alternative Bundle E200 Black;Desktop alternative bundle;Contoso, Ltd;Contoso;Econômico;5,86;0.0;751;22
Contoso Power Inverter - DC to AC power inverter E900 Black;Notebook essentials bundle - notebook accessories bundle;Contoso, Ltd;Contoso;Econômico;4,84;0.0;752;22
Contoso Laptop Cooling Hub notebook fan with 4 ports USB hub E80 Black;Laptop cooling hub notebook fan with 4 ports USB hub;Contoso, Ltd;Contoso;Econômico;15,24;0.0;754;22
Contoso Home/Office Laptop Power Adapter E300 Black;Home/office laptop power adapter;Contoso, Ltd;Contoso;Econômico;13;0.0;755;22
Contoso 90W AC/DC Power Adapter E300 Black;Enhanced capacity battery adapter;Contoso, Ltd;Contoso;Econômico;6,07;0.0;759;22
Contoso Reserve Pen - Tablet Pen E200 Black;Reserve pen - tablet pen, connectivity technology, wireless;Contoso, Ltd;Contoso;Econômico;7,09;0.0;760;22
